id,name,address,city,state,zip,lat,lon
1,1369 Coffee House,1369 Cambridge St,Cambridge,MA,02139,42.373695,-71.10044
2,1369 Coffee House,757 Massachusetts Ave,Cambridge,MA,02139,42.366432,-71.10543
3,Aceituna Cafe,605 W Kendall St,Cambridge,MA,02142,42.36437,-71.081924
4,Al's Deli Cafe-Cambridge,1354 Massachusetts Ave,Cambridge,MA,02138,42.373238,-71.11834
5,Algiers Coffee House,40 Brattle St # 3,Cambridge,MA,02138,42.37384,-71.12138
6,Area Four,500 Technology Sq,Cambridge,MA,02139,42.36342,-71.091286
7,B & B Snack Bar,55 Broadway,Cambridge,MA,02142,42.36341,-71.08602
8,Basha Cafe,26 New St,Cambridge,MA,02138,42.387756,-71.14083
9,Beantowne Coffee House,1 Kendall Sq # B2105,Cambridge,MA,02139,42.366606,-71.090858
10,Boston Tea Stop,54 Jfk St # 1,Cambridge,MA,02138,42.37198,-71.12067
11,Broadway Marketplace LLC,468 Broadway,Cambridge,MA,02138,42.374096,-71.11313
12,Cafe Avec,2269 Massachusetts Ave # 1,Cambridge,MA,02140,42.39454,-71.12708
13,Cafe Pamplona,12 Bow St,Cambridge,MA,02138,42.371605,-71.1157
14,Cafe Zing,25 White St,Cambridge,MA,02140,42.38885,-71.11851
15,Cambridge Coffee Shop,847 Cambridge St,Cambridge,MA,02141,42.37246,-71.09102
16,Central Brew Cafe & Espresso,350 Massachusetts Ave,Cambridge,MA,02139,42.36276,-71.099236
17,Conroy Commons,13 Appian Way,Cambridge,MA,02138,42.375237,-71.12187
18,Crema Cafe,27 Brattle St,Cambridge,MA,02138,42.37364,-71.121185
19,Dado Tea,955 Massachusetts Ave # 4,Cambridge,MA,02139,42.36896,-71.11014
20,Dado Tea 50 Church Street,50 Church St,Cambridge,MA,02138,42.374268,-71.12072
21,Darwin's Limited,148 Mount Auburn St,Cambridge,MA,02138,42.37409,-71.124954
22,Darwin's Limited,1629 Cambridge St,Cambridge,MA,02138,42.374847,-71.1095
23,Discovery Cafe,301 Binney St,Cambridge,MA,02142,42.36659,-71.08831
24,Dunkin' Donuts,1 Broadway # 2,Cambridge,MA,02142,42.362,-71.08262
25,Dunkin' Donuts,1 White St,Cambridge,MA,02140,42.38863,-71.11892
26,Dunkin' Donuts,100 Cambridgeside Pl # 125,Cambridge,MA,02141,42.36858,-71.076715
27,Dunkin' Donuts,1001 Cambridge St,Cambridge,MA,02141,42.372818,-71.093704
28,Dunkin' Donuts,1003 Massachusetts Ave,Cambridge,MA,02138,42.369423,-71.11141
29,Dunkin' Donuts,201 Alewife Brook Pkwy,Cambridge,MA,02138,42.389206,-71.14297
